Type,Brand,Product,Kosher,Misc,Src
Beer,800,Ice Beer,OU*,,1
Beer,21st Amendment Brewery,Assorted Varieties,0,,1
Beer,Abita Brewing Company,Assorted Varieties,0,,1
Beer,Alexander,Assorted Varieties,Rabbi Eliezer Simcha Weisz*,,1
Beer,Allagash Brewing Co.,Assorted Varieties,0,,1
Beer,Amstel Beer,Amstel Beer,,,2
Beer,Anchor Brewing,Anchor Bock Beer,,,1
Beer,Anchor Brewing,Anchor California Lager,,,1
Beer,Anchor Brewing,Anchor Porter,,,1
Beer,Anchor Brewing,Anchor Small Beer,,,1
Beer,Anchor Brewing,Anchor Steam Beer,,,1
Beer,Anchor Brewing,Anchor Summer Beer,,,1
Beer,Anchor Brewing,Brekle's Brown,,,1
Beer,Anchor Brewing,Humming Ale,,,1
Beer,Anchor Brewing,Liberty Ale,,,1
Beer,Anchor Brewing,Old Foghorn Ale,,,1
Beer,Asahi,Black,,,1
Beer,Asahi,Select,,,1
Beer,Asahi,Super Dry,,,1
Beer,Aspen Edge,Lager,OU*,,1
Beer,Barley John's Brew Pub,Assorted Varieties,0,,1
Beer,Bass Ale,Bass Ale,,,2
Beer,Blue Moon,Agave Blonde Ale,OU*,,1
Beer,Blue Moon,Belgian Style Pale Ale,OU*,,1
Beer,Blue Moon,Belgian White Ale,OU*,,1
Beer,Blue Moon,Blackberry Tart Ale,OU*,,1
Beer,Blue Moon,Caramel Apple Spiced Ale,OU*,,1
Beer,Blue Moon,Full Moon Winter Ale,OU*,,1
Beer,Blue Moon,Gingerbread Spiced Ale,OU*,,1
Beer,Blue Moon,Gran Cru,OU*,,1
Beer,Blue Moon,Harvest Moon Pumpkin Ale,OU*,,1
Beer,Blue Moon,Mountain Abbey Ale,OU*,,1
Beer,Blue Moon,Pale Ale,OU*,,1
Beer,Blue Moon,Peanut Butter Ale,OU*,,1
Beer,Blue Moon,Pine in the Neck Ale,OU*,,1
Beer,Blue Moon,Rounder Belgian Style Pale Ale,OU*,,1
Beer,Blue Moon,Short Straw Farmhouse Red Ale,OU*,,1
Beer,Blue Moon,Spiced Amber Ale,OU*,,1
Beer,Blue Moon,Spring Ale,OU*,,1
Beer,Blue Moon,Spring Blonde Wheat Ale,OU*,,1
